experiment,arch,dropout,lr,batch_size,epochs,weight_decay,time_sec,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,test_r2
Exp3_bigger_net,3-32-16-1,0.0,0.003,64,120,0.0,3.0913074999989476,7.378429250275637e-05,9.70735201614497e-05,0.00013492764118363097,0.005411105113417204,0.005559192280613166,0.005990138889099047,0.9970796490614943
Baseline,3-16-8-1,0.0,0.003,64,120,0.0,2.203457799998432,8.622820814908532e-05,0.00010808931276024538,0.00014999740431565463,0.006162818988553388,0.006664441400034701,0.007381042260856585,0.99675348166896
Exp4_dropout_0.2,3-16-8-1,0.2,0.003,64,120,0.0,3.0456338000003598,0.00010047652822339415,0.00012223876744256836,0.0001592865143354478,0.007728111451555845,0.008165734532670567,0.007761013815584385,0.9965524297501225
Exp1_lr_0.001,3-16-8-1,0.0,0.001,64,120,0.0,2.337324299998727,0.0002081625689566508,0.00023848394041145243,0.00026815677236980014,0.009419720103332167,0.00948303807012817,0.009668329799582438,0.9941960603847582
Exp2_lr_0.01,3-16-8-1,0.0,0.01,64,120,0.0,2.581016099999033,0.0002527428576346655,0.00029569978594756806,0.0003132187061791953,0.011374560399483388,0.011510244824625914,0.011249959064530385,0.9932207475464343
